name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at,quality_score,is_highly_rated
Dr.Rahul Sawant | Best Cardiologist in Pune | Hridaymitra Cardia Clinic Pune,"1st Floor Pushpa Prestige Above Puma Showroom Cosmos bank, City Pride Cinema, Pune - Satara Rd, opposite HOTEL UTSAV DELUXE, Adinath Society, Parvati Industrial Estate, Parvati Paytha, Pune, Maharashtra 411009, India",General Practice,doctor,ChIJgwk7eBzAwjsRLxtIXsnVVlk,18.4894508,73.8572494,"1st Floor Pushpa Prestige Above Puma Showroom Cosmos bank, City Pride Cinema, Pune - Satara Rd, opposite HOTEL UTSAV DELUXE, Adinath Society, Parvati Industrial Estate, Parvati Paytha, Pune, Maharashtra 411009, India",5.0,804,False,"['Monday: 9:00\u202fAM\u2009–\u20098:45\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:45\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",090219 40551,https://hridaymitracardiaclinic.com/,True,0.65,3441.881597396993,1,1,2026-04-07T23:26:05.126164,150.0,1
Dr. Joglekar Hospital and Fertility Centre,"NH 4, Shirwal, Maharashtra 412801, India",General,establishment,ChIJ7YYbSkj2wjsR4eN4YVBBLK8,18.149904,73.9735463,"NH 4, Shirwal, Maharashtra 412801, India",4.9,3296,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",076669 92594,http://www.joglekarhospital.com/,True,0.85,4947.709371246744,1,1,2026-04-07T23:26:39.318435,148.0,1
Lalwani Mother and Child Care Hospital,"Survey No.:51(P),CTS No. 3670(p Pune Satara Road Opp. Nexa Showroom, LALWANI MOTHER CHILD CARE, Satara Rd, near Chandukaka Saraf, Darshan - II Co-operative HSG Society, Walvekar Nagar, Parvati Paytha, Pune, Maharashtra 411009, India",General,establishment,ChIJ__T3FdfBwjsR1LPga9hD3hg,18.4829811,73.8570215,"Survey No.:51(P),CTS No. 3670(p Pune Satara Road Opp. Nexa Showroom, LALWANI MOTHER CHILD CARE, Satara Rd, near Chandukaka Saraf, Darshan - II Co-operative HSG Society, Walvekar Nagar, Parvati Paytha, Pune, Maharashtra 411009, India",4.9,4294,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 6868 6868,https://lalwanihospital.com/,True,0.85,4160.929950032771,1,1,2026-04-07T23:26:02.934876,148.0,1
Pristyn Care LOC Super Speciality Hospital,"LOC, 2143, Chowk Sadashiv Peth, N. C, Phadke Chowk, near Neelayam Theater, next to Hotel Kaveri, Vijayanagar Colony, Sadashiv Peth, Pune, Maharashtra 411030, India",General Practice,doctor,ChIJmWoHHA3AwjsRORJt7h5gIKs,18.504395,73.85100729999999,"LOC, 2143, Chowk Sadashiv Peth, N. C, Phadke Chowk, near Neelayam Theater, next to Hotel Kaveri, Vijayanagar Colony, Sadashiv Peth, Pune, Maharashtra 411030, India",4.9,1255,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",080 6542 3036,https://obesityasia.com/,True,0.85,1878.173635153939,1,1,2026-04-07T23:25:51.935105,148.0,1
Aai Women's & Children's Hospital,"Gat No 112, Rose Castle, Borhade Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 412105, India",General Practice,doctor,ChIJj14-caC3wjsRz5YYpxCm2ew,18.6719143,73.8341153,"Gat No 112, Rose Castle, Borhade Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 412105, India",4.8,824,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",079723 32049,https://aaihospitals.com/index.html,True,0.85,17014.924084478913,1,1,2026-04-07T23:26:04.441039,146.0,1
Dr Dudhbhate Netralay and Retina Centre | Best Eye Hospital in Pune | Retina | Cataract | LASIK,"Manik Baug, Indian oil petrol pump, SN.39/1A/1, Sinhgad Rd, opp. Indian Hume Pipe Company, Wadgaon Budruk, Anand Nagar, Pune, Maharashtra 411051, India",General Practice,doctor,ChIJK37OoV6VwjsRSX6QtqkCGvE,18.4708533,73.8215835,"Manik Baug, Indian oil petrol pump, SN.39/1A/1, Sinhgad Rd, opp. Indian Hume Pipe Company, Wadgaon Budruk, Anand Nagar, Pune, Maharashtra 411051, India",4.8,4094,False,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",020 2435 1535,http://www.dudhbhatenetralay.com/,True,0.65,3420.563897760846,1,1,2026-04-07T23:26:16.552236,146.0,1
Dugad Hospital,"First Floor, Adinath Shopping Centre, Pune - Satara Rd, Adinath Society, Parsanees Colony, Maharshi Nagar, Pune, Maharashtra 411037, India",General,establishment,ChIJGS30SBHAwjsR5QoO1gfQ21s,18.491034,73.85801049999999,"First Floor, Adinath Shopping Centre, Pune - Satara Rd, Adinath Society, Parsanees Colony, Maharshi Nagar, Pune, Maharashtra 411037, India",4.8,900,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",089286 05525,http://business.google.com/website/dugad-hospital,True,0.85,3268.2728474172973,1,1,2026-04-07T23:26:01.912380,146.0,1
Sai Varad Children Hospital,"Kasturi Market, Temple, Chikhali Akurdi Rd, near Siddhivinayak Complex, प्रेमसदन हाउसिंग सोसायटी, सेक्टर No. 20, चिंचवड, पिंपरी चिंचवड, महाराष्ट्र 411019, India",General,establishment,ChIJr2On9n-3wjsRkmJ08tzx4ZM,18.6645146,73.79504680000001,"Kasturi Market, Temple, Chikhali Akurdi Rd, near Siddhivinayak Complex, प्रेमसदन हाउसिंग सोसायटी, सेक्टर No. 20, चिंचवड, पिंपरी चिंचवड, महाराष्ट्र 411019, India",4.8,503,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",089567 94921,http://www.saivaradhospital.in/,True,0.85,23757.36336873465,1,1,2026-04-07T23:26:19.492360,146.0,1
Jupiter Hospital,"Jupiter Hospital, Prathamesh Park, Baner, Pune, Maharashtra 411045, India",General,establishment,ChIJq6qqWtK-wjsRB3ipyUrXw0s,18.5653865,73.78605050000002,"Jupiter Hospital, Prathamesh Park, Baner, Pune, Maharashtra 411045, India",4.7,13804,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 6637 5555,https://www.jupiterhospital.com/pune,True,0.85,8971.952779104016,1,1,2026-04-07T23:26:06.014367,144.0,1
"Sahyadri Super Speciality Hospital, Deccan Gymkhana, Pune","Plot No. 30-C, Karve Rd, Kachare Colony, Deccan Gymkhana, Pune, Maharashtra 411004, India",General,establishment,ChIJH1XCpYm_wjsRi58ExuGvoeU,18.5130079,73.8393427,"Plot No. 30-C, Karve Rd, Kachare Colony, Deccan Gymkhana, Pune, Maharashtra 411004, India",4.7,14768,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 4713 8766,https://sahyadrihospital.com/deccan,True,0.85,2006.2381260428265,1,1,2026-04-07T23:25:50.825584,144.0,1
